gid,reason,suggested_request
100000003985389100,truncated_likely_forwarding,"hop 5: outgoing transfers of this depth-4 node (P(forwards) = 0.97, 422.70k KZT in)"
100000004610802100,truncated_likely_forwarding,"hop 5: outgoing transfers of this depth-4 node (P(forwards) = 0.96, 241.00k KZT in)"
100000003989033100,truncated_likely_forwarding,"hop 5: outgoing transfers of this depth-4 node (P(forwards) = 0.94, 373.40k KZT in)"
100000008190411100,truncated_likely_forwarding,"hop 5: outgoing transfers of this depth-4 node (P(forwards) = 0.91, 198.45k KZT in)"
100000001471706100,truncated_likely_forwarding,"hop 5: outgoing transfers of this depth-4 node (P(forwards) = 0.90, 377.00k KZT in)"
100000008175078100,truncated_likely_forwarding,"hop 5: outgoing transfers of this depth-4 node (P(forwards) = 0.88, 1.85M KZT in)"
100000003230328100,truncated_likely_forwarding,"hop 5: outgoing transfers of this depth-4 node (P(forwards) = 0.81, 26.57k KZT in)"
100000000557536100,truncated_likely_forwarding,"hop 5: outgoing transfers of this depth-4 node (P(forwards) = 0.80, 153.00k KZT in)"
100000008469048100,truncated_likely_forwarding,"hop 5: outgoing transfers of this depth-4 node (P(forwards) = 0.77, 265.20k KZT in)"
100000001222245100,truncated_likely_forwarding,"hop 5: outgoing transfers of this depth-4 node (P(forwards) = 0.77, 420.00k KZT in)"
100000003025903100,truncated_likely_forwarding,"hop 5: outgoing transfers of this depth-4 node (P(forwards) = 0.76, 386.30k KZT in)"
100000001053894100,truncated_likely_forwarding,"hop 5: outgoing transfers of this depth-4 node (P(forwards) = 0.76, 2.00M KZT in)"
100000006756956100,truncated_likely_forwarding,"hop 5: outgoing transfers of this depth-4 node (P(forwards) = 0.74, 121.20k KZT in)"
100000002516862100,truncated_likely_forwarding,"hop 5: outgoing transfers of this depth-4 node (P(forwards) = 0.73, 81.71k KZT in)"
100000006490615100,truncated_likely_forwarding,"hop 5: outgoing transfers of this depth-4 node (P(forwards) = 0.72, 41.60k KZT in)"
100000005075949100,truncated_likely_forwarding,"hop 5: outgoing transfers of this depth-4 node (P(forwards) = 0.72, 2.23M KZT in)"
100000002119762100,truncated_likely_forwarding,"hop 5: outgoing transfers of this depth-4 node (P(forwards) = 0.71, 77.00k KZT in)"
100000004586598100,truncated_likely_forwarding,"hop 5: outgoing transfers of this depth-4 node (P(forwards) = 0.70, 761.25k KZT in)"
