n_removed,strategy,largest_wcc,n_components,seed_flow_reach
0,priority,1877.0,35.0,1.0
5,priority,1852.0,50.0,0.876
10,priority,1831.0,56.0,0.8112
20,priority,1716.0,111.0,0.732
50,priority,1449.0,275.0,0.5999
0,degree,1877.0,35.0,1.0
5,degree,1657.0,394.0,0.8954
10,degree,1428.0,527.0,0.5109
20,degree,1188.0,724.0,0.4181
50,degree,620.0,1015.0,0.2246
0,degree_nonseed,1877.0,35.0,1.0
5,degree_nonseed,1650.0,290.0,0.9771
10,degree_nonseed,1548.0,393.0,0.964
20,degree_nonseed,1388.0,515.0,0.9374
50,degree_nonseed,1049.0,730.0,0.8458
0,random,1877.0,35.0,1.0
5,random,1867.8,37.6,0.989
10,random,1863.6,37.6,0.9878
20,random,1847.0,44.0,0.9772
50,random,1793.8,62.6,0.9423
