rank,gid,role,priority_score,why,cluster_id,evidence
1,100000003115284100,consolidator,1.0,875k KZT of seed money flows in; consolidator (role score 0.78); reachable from 11 seeds,13,8 payers (2 seeds) → 2.16M in; sends on 24%; to 2 recipients; up to 7 payers same day; seed money in 875k; flags burst
2,100000008686313100,consolidator,0.9563668687837205,236k KZT of seed money flows in; consolidator (role score 0.71); bridge: betweenness in top 1%,11,6 payers (1 seed) → 1.91M in; sends on 17%; to 7 recipients; up to 2 payers same day; seed money in 236k; flags near_threshold
3,100000008165763100,transit,0.9516889394938176,190k KZT of seed money flows in; transit (role score 0.78); bridge: betweenness in top 3%,4,"1.17M in from 15, 1.27M out to 17 (109%); 54% forwarded within 2 days; seed money in 190k"
4,100000006518161100,transit,0.9509716327898146,546k KZT of seed money flows in; transit (role score 0.99); removing it cuts 0.7% of downstream seed flow,2,"594k in from 3, 596k out to 2 (100%); 50% forwarded within 2 days; seed money in 546k; flags near_threshold"
5,100000004707703100,coordinator,0.9491411387198527,239k KZT of seed money flows in; coordinator (role score 0.75); bridge: betweenness in top 7%,2,pays 2 seeds back; downstream of 7 seeds; betweenness top 7%; seed money in 239k
6,100000004015047100,consolidator,0.9472516257438653,587k KZT of seed money flows in; consolidator (role score 0.91); reachable from 11 seeds,5,9 payers (3 seeds) → 919k in; sends on 8%; to 1 recipient; up to 2 payers same day; seed money in 587k; flags near_threshold
7,100000003265158100,transit,0.9426190956124437,103k KZT of seed money flows in; transit (role score 0.87); bridge: betweenness in top 5%,2,"146k in from 3, 154k out to 2 (106%); 87% forwarded within 2 days; seed money in 103k; flags burst"
8,100000003946524100,transit,0.9424202472982961,115k KZT of seed money flows in; transit (role score 0.79); reachable from 10 seeds,8,"134k in from 2, 145k out to 2 (108%); 0% forwarded within 2 days; seed money in 115k"
9,100000004299488100,consolidator,0.9402301918931631,756k KZT of seed money flows in; consolidator (role score 0.70); removing it cuts 0.5% of downstream seed flow,1,6 payers (1 seed) → 1.75M in; sends on 20%; to 2 recipients; up to 3 payers same day; seed money in 756k
10,100000008723830100,transit,0.9377504898569201,454k KZT of seed money flows in; transit (role score 0.99); removing it cuts 0.6% of downstream seed flow,2,"460k in from 2, 455k out to 1 (99%); 99% forwarded within 2 days; seed money in 454k"
